id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region,profitability,risk_flag,loan_year,default_rate_indicator,income_to_loan_ratio
6297794,2013,2013-07-01,1122015,10.0,MORTGAGE,3,Low,55000,1,10000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,10.64,B,2,20.57,11630.35,10000.0,0.0,325.69,cannught,1630.3500000000004,0,2013,0.13883089770354906,5.5
4526163,2013,2013-05-01,1102014,9.0,RENT,1,Low,60000,1,10575,36,1,INDIVIDUAL,1,home_improvement,7,High,2,GOOD LOAN,0,21.0,E,5,8.82,13165.83707,10575.0,0.0,398.42,cannught,2590.8370699999996,0,2013,0.13883089770354906,5.673758865248227
9001808,2013,2013-11-01,1012016,10.0,MORTGAGE,3,Low,63000,1,8875,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,13.67,B,2,8.72,7849.66,6033.91,0.0,301.91,munster,-1025.3400000000001,0,2013,0.13883089770354906,7.098591549295775
7306367,2013,2013-09-01,1122015,10.0,MORTGAGE,3,Low,100000,1,10500,60,2,INDIVIDUAL,1,major_purchase,8,High,2,GOOD LOAN,0,16.2,C,3,19.52,6924.42,3707.15,0.0,256.46,ulster,-3575.58,0,2013,0.13883089770354906,9.523809523809524
6532028,2013,2013-08-01,1082014,10.0,MORTGAGE,3,Low,85000,1,24000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,16.78,C,3,15.49,27523.60099,24000.0,0.0,853.04,ulster,3523.600989999999,0,2013,0.13883089770354906,3.5416666666666665
6316917,2013,2013-07-01,1102014,1.0,RENT,1,Low,82500,1,9000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,9.71,B,2,7.96,9901.40164,9000.0,0.0,289.19,munster,901.40164,0,2013,0.13883089770354906,9.166666666666666
1570001,2012,2012-10-01,1102015,0.5,RENT,1,Low,55000,1,12000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.31,C,3,24.34,15040.97044,12000.0,0.0,417.81,Northern-Irl,3040.970439999999,0,2012,0.15946336078797657,4.583333333333333
26199528,2014,2014-10-01,1012016,10.0,RENT,1,Low,67980,1,10000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,6.03,A,1,6.54,4761.17,4158.69,0.0,304.36,Northern-Irl,-5238.83,0,2014,0.07904642409033877,6.798
35074071,2014,2014-11-01,1122015,10.0,RENT,1,Low,51000,1,7000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,8.67,B,2,12.4,2876.52,2321.36,0.0,221.53,Northern-Irl,-4123.48,0,2014,0.07904642409033877,7.285714285714286
3725985,2013,2013-03-01,1012016,1.0,MORTGAGE,3,Low,40000,1,17875,60,2,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,16.29,C,3,20.73,14435.85,8041.99,0.0,437.45,ulster,-3439.1499999999996,0,2013,0.13883089770354906,2.237762237762238
34622770,2014,2014-11-01,1012016,2.0,RENT,1,Low,30600,1,10000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,12.39,C,3,15.41,4665.82,3456.67,0.0,334.01,munster,-5334.18,0,2014,0.07904642409033877,3.06
585489,2010,2010-09-01,1022013,9.0,MORTGAGE,3,Low,78000,1,24000,60,2,INDIVIDUAL,1,home_improvement,7,High,2,BAD LOAN,1,20.16,G,7,1.82,18764.18,8296.53,923.42,638.0,ulster,-5235.82,1,2010,0.14953933380581147,3.25
2514669,2012,2012-12-01,1022015,10.0,MORTGAGE,3,Medium,106000,2,24000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,7.62,A,1,20.84,26668.38989,24000.0,0.0,747.88,ulster,2668.3898899999986,0,2012,0.15946336078797657,4.416666666666667
3299800,2013,2013-04-01,1012016,10.0,RENT,1,Low,65000,1,11650,36,1,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,14.33,C,3,13.33,13201.32,10478.02,0.0,400.04,ulster,1551.3199999999997,0,2013,0.13883089770354906,5.579399141630901
760526,2011,2011-05-01,1122013,2.0,RENT,1,Low,56000,1,2000,36,1,INDIVIDUAL,1,medical,9,High,2,GOOD LOAN,0,16.89,D,4,22.59,2542.87,2000.0,0.0,71.2,ulster,542.8699999999999,0,2011,0.15083210448704445,28.0
6827145,2013,2013-09-01,1032015,9.0,RENT,1,Low,34000,1,11450,36,1,INDIVIDUAL,1,credit_card,1,Low,1,BAD LOAN,1,11.55,B,2,28.34,6797.85,5230.22,0.0,377.85,cannught,-4652.15,1,2013,0.13883089770354906,2.96943231441048
8654963,2013,2013-11-01,1112015,10.0,MORTGAGE,3,Low,65000,1,23275,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,25.99,G,7,22.13,34154.55004,23275.0,0.0,696.73,leinster,10879.550040000002,0,2013,0.13883089770354906,2.7926960257787323
1955212,2012,2012-11-01,1102015,10.0,MORTGAGE,3,Low,42000,1,10000,36,1,INDIVIDUAL,1,home_improvement,7,Low,1,GOOD LOAN,0,10.16,B,2,21.74,11641.05,10000.0,0.0,323.43,leinster,1641.0499999999993,0,2012,0.15946336078797657,4.2
3643719,2013,2013-03-01,1012016,3.0,OWN,2,Low,35000,1,6400,36,1,INDIVIDUAL,1,home_improvement,7,High,2,GOOD LOAN,0,18.49,D,4,17.04,7920.64,5945.02,0.0,232.96,leinster,1520.6400000000003,0,2013,0.13883089770354906,5.46875
1488703,2012,2012-09-01,1032014,0.5,RENT,1,Low,32000,1,1500,36,1,INDIVIDUAL,1,major_purchase,8,Low,1,GOOD LOAN,0,11.14,B,2,11.89,1697.924308,1500.0,0.0,49.21,Northern-Irl,197.9243080000001,0,2012,0.15946336078797657,21.333333333333332
9746284,2013,2013-12-01,1022015,8.0,MORTGAGE,3,Low,30000,1,10375,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,10.99,B,2,18.28,11532.83,10375.0,0.0,339.62,cannught,1157.83,0,2013,0.13883089770354906,2.891566265060241
1570810,2012,2012-10-01,1102015,6.05,RENT,1,Low,35100,1,12250,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.31,C,3,16.0,15353.93522,12250.0,0.0,426.52,cannught,3103.9352199999994,0,2012,0.15946336078797657,2.8653061224489798
2219164,2012,2012-12-01,1082014,10.0,OWN,2,Low,52000,1,10075,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,11.14,B,2,22.22,11503.28361,10075.0,0.0,330.52,munster,1428.2836100000004,0,2012,0.15946336078797657,5.161290322580645
1115290,2012,2012-01-01,1082012,10.0,MORTGAGE,3,Low,80000,1,13000,36,1,INDIVIDUAL,1,car,2,Low,1,GOOD LOAN,0,6.03,A,1,18.83,13367.13,13000.0,0.0,395.67,munster,367.1299999999992,0,2012,0.15946336078797657,6.153846153846154
5770459,2013,2013-06-01,1082014,0.5,MORTGAGE,3,Low,60000,1,14600,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,BAD LOAN,1,13.11,B,2,22.7,8246.78,5007.68,1353.64,492.71,leinster,-6353.219999999999,1,2013,0.13883089770354906,4.109589041095891
26138306,2014,2014-08-01,1012016,4.0,MORTGAGE,3,Low,68400,1,8000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,10.99,B,2,28.99,4190.08,3234.23,0.0,261.88,munster,-3809.92,0,2014,0.07904642409033877,8.55
30235152,2014,2014-10-01,1122015,6.05,MORTGAGE,3,Low,50000,1,10000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,16.29,D,4,33.1,4919.52,3326.24,0.0,353.01,cannught,-5080.48,0,2014,0.07904642409033877,5.0
1562538,2012,2012-10-01,1012016,10.0,MORTGAGE,3,Low,62000,1,24375,60,2,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,19.72,D,4,32.34,25015.12,13041.48,0.0,642.0,leinster,640.119999999999,0,2012,0.15946336078797657,2.5435897435897434
1208605,2012,2012-04-01,1022014,10.0,RENT,1,Low,65000,1,2200,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,7.9,A,1,19.57,2432.08,2200.0,0.0,68.84,ulster,232.07999999999993,0,2012,0.15946336078797657,29.545454545454547
